ParticipantID,List_7,List_30,List_180,List_365,List_1825,List_5475,Indiff_Avg,k_7,k_30,k_180,k_365,k_1825,k_5475,k_avg,ln_k
DelayDiscountingTitrated-3090-1,975.0,994.0,966.0,887.0,249.0,95.0,694.3333333333334,0.003663003663003663,0.00020120724346076458,0.0001955371520588912,0.0003490293586199441,0.0016526379490565,0.0017399663542417689,0.0013002302867402553,-6.645213886556379
DelayDiscountingTitrated-1107-1,899.0,699.0,815.0,599.0,671.0,99.0,630.3333333333334,0.01604957889718735,0.01435383881735813,0.0012610770279481937,0.0018341070734328904,0.00026866463875222017,0.001662284949956183,0.005904925234105828,-5.131968490868374
DelayDiscountingTitrated Backup1-1009-1,6.0,125.0,1.0,63.0,1.0,2.0,33.0,23.666666666666668,0.23333333333333334,5.55,0.040747988693194175,0.5473972602739726,0.09114155251141552,5.021547800246431,1.6137382129230329
DelayDiscountingTitrated-2108-1,49.0,49.0,975.0,49.0,30.0,46.0,199.66666666666666,2.772594752186589,0.6469387755102041,0.00014245014245014244,0.05317305004193458,0.01771689497716895,0.003787969029184038,0.5823923153145885,-0.5406109770449067
DelayDiscountingTitrated-3108-1,994.0,978.0,919.0,899.0,807.0,751.0,891.3333333333334,0.0008623167576889911,0.0007498295841854124,0.0004896626768226333,0.00030780014323373,0.00013104513588294207,6.055852470678365e-05,0.0004335354704200821,-7.743536941745968
DelayDiscountingTitrated-3015-1,999.0,709.0,375.0,49.0,6.0,25.0,360.5,0.000143000143000143,0.013681241184767278,0.009259259259259259,0.05317305004193458,0.09077625570776256,0.007123287671232876,0.029026015667992785,-3.5395627591424494
DelayDiscountingTitrated-3050-1,679.0,709.0,499.0,937.0,199.0,599.0,603.6666666666666,0.06753629286766252,0.013681241184767278,0.005577822311289245,0.00018420783321881258,0.0022055482893921664,0.00012227380489552602,0.014884564381870927,-4.207430550520679
DelayDiscountingTitrated-2015-1,999.0,999.0,999.0,301.0,13.0,99.0,568.3333333333334,0.000143000143000143,3.33667000333667e-05,5.561116672227784e-06,0.006362353797842807,0.041601685985247626,0.001662284949956183,0.008301375448792059,-4.7913340611871496
DelayDiscountingTitrated-2050-1,998.0,269.0,451.0,231.0,97.0,63.0,351.5,0.000286286859433152,0.09058240396530359,0.006762749445676275,0.009120559805491313,0.00510097443863861,0.0027165325795462784,0.01909491784901487,-3.958333060538847
DelayDiscountingTitrated Backup1-3022-1,999.0,999.0,493.0,399.0,299.0,1.0,531.6666666666666,0.000143000143000143,3.33667000333667e-05,0.005713319810682894,0.004126755244275071,0.0012846474549869427,0.18246575342465754,0.032294473796272656,-3.4328591532897517
DelayDiscountingTitrated-2074-1,986.0,493.0,99.0,949.0,437.0,99.0,510.5,0.002028397565922921,0.03427991886409736,0.050561167227833895,0.0001472350130634987,0.0007059339832607128,0.001662284949956183,0.014897489600689097,-4.206562563400836
DelayDiscountingTitrated-2089-1,885.0,687.0,425.0,467.0,23.0,949.0,572.6666666666666,0.018563357546408393,0.015186802523047065,0.007516339869281046,0.0031269249948666805,0.02327575938058368,9.815667537566581e-06,0.011279833330287405,-4.484738808705126
DelayDiscountingTitrated-1003-1,793.0,821.0,297.0,205.0,101.0,7.0,370.6666666666667,0.03729057827418483,0.007267559886317499,0.013150018705574262,0.010624791179418643,0.004877254848772549,0.025909980430528376,0.016520030554132693,-4.103181661367245
DelayDiscountingTitrated-1086-1,35.0,999.0,999.0,999.0,999.0,999.0,838.3333333333334,3.938775510204082,3.33667000333667e-05,5.561116672227784e-06,2.7424684958931536e-06,5.484936991786307e-07,1.8283123305954356e-07,0.656469651969036,-0.42087881331611027
DelayDiscountingTitrated-2049-1,999.0,899.0,49.0,401.0,6.0,16.0,395.0,0.000143000143000143,0.0037449017426770485,0.10782312925170068,0.0040925084548901714,0.09077625570776256,0.011232876712328766,0.0363021120020599,-3.315879357528903
DelayDiscountingTitrated-2111-1,899.0,899.0,813.0,599.0,13.0,13.0,539.3333333333334,0.01604957889718735,0.0037449017426770485,0.0012778461117944513,0.0018341070734328904,0.041601685985247626,0.01386722866174921,0.01306255807868143,-4.338005303052145
DelayDiscountingTitrated-3154-1,988.0,994.0,994.0,687.0,399.0,693.0,792.5,0.001735106998264893,0.00020120724346076458,3.35345405767941e-05,0.0012482303443600328,0.0008253510488550142,8.091350557103982e-05,0.0006873906135147564,-7.282607848697407
DelayDiscountingTitrated-1123-1,999.0,799.0,747.0,493.0,471.0,37.0,591.0,0.000143000143000143,0.008385481852315394,0.001881600475977986,0.002817527577871016,0.0006154204112497455,0.004753794890781192,0.0030994708918659127,-5.7765238621017865
DelayDiscountingTitrated-1042-1,743.0,135.0,201.0,207.0,1.0,403.0,281.6666666666667,0.049413574312632186,0.21358024691358024,0.022084024322830294,0.01049566540930448,0.5473972602739726,0.00027057343893402224,0.14054022411187564,-1.9622615385710316
DelayDiscountingTitrated-1007-1,501.0,193.0,991.0,893.0,1.0,1.0,430.0,0.14228685486170517,0.1393782383419689,5.0454086781029264e-05,0.00032827624292441974,0.5473972602739726,0.18246575342465754,0.16865113953866828,-1.7799229606715221
DelayDiscountingTitrated-3070-1,998.0,947.0,899.0,797.0,899.0,937.0,912.8333333333334,0.000286286859433152,0.0018655403027103134,0.0006241502904461748,0.0006978223131262783,6.1560028646746e-05,1.2280522214587505e-05,0.0005912733860962087,-7.433232065289263
DelayDiscountingTitrated-2035-1,923.0,199.0,1.0,1.0,1.0,1.0,187.66666666666666,0.011917659804983749,0.13417085427135678,5.55,2.736986301369863,0.5473972602739726,0.18246575342465754,1.5271563048574726,0.42340738174289855
DelayDiscountingTitrated-2070-1,959.0,899.0,945.0,859.0,799.0,599.0,843.3333333333334,0.006107552510055117,0.0037449017426770485,0.0003233392122281011,0.00044971055862981805,0.00013784353729833526,0.00012227380489552602,0.0018142702276306574,-6.312071970560942
DelayDiscountingTitrated Backup1-1051-1,999.0,998.0,399.0,483.0,99.0,339.0,552.8333333333334,0.000143000143000143,6.68002672010688e-05,0.008368142578668894,0.002932584588332057,0.0049868548498685486,0.00035613744426933906,0.002808919978556675,-5.874955218785681
DelayDiscountingTitrated Backup1-2026-1,999.0,999.0,999.0,999.0,999.0,99.0,849.0,0.000143000143000143,3.33667000333667e-05,5.561116672227784e-06,2.7424684958931536e-06,5.484936991786307e-07,0.001662284949956183,0.00030791731197616533,-8.085679278644433
